CT_GEOID,pesticide_lbs,pesticide_lbs_mile2
53033010900,0.479883513,0.259282529
53033011001,0.050311142,0.120063079
53033011002,0.010062228,0.015552803
53033011101,0.130808968,0.298334896
53033011102,0.123468655,0.244098668
53033011200,0.010062228,0.00935715
53033011300,0.569479817,0.460966602
53033011401,0,0
53033011402,0.09559118,0.208714333
53033011500,0.020124457,0.033884233
53033011600,1.202224367,0.995660685
53033011700,1.136819828,0.838531376
53033011800,0.026590416,0.029460364
53033011900,0.007061289,0.005773239
53033012000,0,0
53033012100,0,0
53033020100,0.459996935,0.686272451
53033020200,0,0
53033020300,0.005031114,0.005006673
53033020401,0.527404595,0.590229705
53033020402,0,0
53033020500,0.020124457,0.01914757
53033020600,0.534165952,0.700524397
53033020700,0,0
53033020800,0.106555915,0.089328943
53033020900,1.812368008,0.991444246
53033021000,0.506098901,0.496299813
53033021100,0.489945852,0.484454845
53033021300,0,0
53033021400,0.017301944,0.014304308
53033021500,0.062398095,0.045917633
53033021600,0.939642569,0.836237431
53033021700,8.5699259,3.96301308
53033021802,4.530287844,2.385358574
53033021803,1.070031667,0.854633689
53033021804,0.139514626,0.117985696
53033021903,0.88423908,0.728937004
53033021904,8.253353115,6.278469408
53033021905,0.030186685,0.029048613
53033021906,2.216536402,1.496824599
53033022001,1.736064696,1.009207229
53033022003,0.010062228,0.011238707
53033022005,0.328888689,0.351637599
53033022006,0,0
53033022101,0.714702719,0.515278386
53033022102,1.62111435,0.902337329
53033022201,0.093886654,0.106162696
53033022202,0.531617849,0.526785389
53033022203,1.671997701,1.376646824
53033022300,1.355945868,0.690963012
53033022400,5.017006789,2.816314535
53033022500,5.310869757,3.681332975
53033022603,0.116618143,0.103841365
53033022604,0.017334471,0.015193681
53033022605,1.620620514,0.888014693
53033022606,0.030186685,0.028067468
53033022701,1.875088199,3.240333312
53033022702,0,0
