,GEOID10,n_loans,n_homes,n_hcl,per_hcl,rank_hcl
360,53009001900,324,3022,10,0.030864198,0.18004187
361,53009001100,155,1229,13,0.083870968,0.592463364
362,53009940000,1,556,0,0,0.011863224
363,53009001600,130,1625,7,0.053846154,0.394975576
364,53045960400,582,4689,65,0.111683849,0.730635031
365,53045961300,126,1598,17,0.134920635,0.81995813
366,53045960200,287,3999,33,0.114982578,0.745987439
367,53045960600,274,1402,45,0.164233577,0.8897418
368,53045960700,104,556,20,0.192307692,0.941381717
369,53045960800,212,1157,44,0.20754717,0.958129798
370,53045960900,358,1662,80,0.223463687,0.975575715
371,53045961000,258,2217,34,0.131782946,0.807397069
372,53045940000,2,268,0,0,0.011863224
373,53045960500,498,3016,54,0.108433735,0.720167481
374,53045961100,369,3816,47,0.127371274,0.788555478
375,53045961200,191,2474,23,0.120418848,0.769713887
376,53045960300,377,3972,66,0.175066313,0.909979065
377,53045960100,44,1102,3,0.068181818,0.501046755
378,53009001000,93,924,3,0.032258065,0.196092114
379,53009000400,29,890,1,0.034482759,0.225401256
380,53011041008,257,1524,10,0.038910506,0.275645499
381,53011041003,255,1408,17,0.066666667,0.492672715
382,53011041005,135,849,18,0.133333333,0.811584089
383,53011041105,486,1971,43,0.088477366,0.622470342
384,53011041107,294,1028,35,0.119047619,0.764131193
385,53011041323,186,1627,14,0.075268817,0.542916957
386,53011040101,336,1738,48,0.142857143,0.838799721
387,53011041325,416,1825,13,0.03125,0.189113747
388,53011040905,165,1229,7,0.042424242,0.302163294
389,53011040908,463,2250,26,0.056155508,0.411723657
390,53011040803,339,1775,13,0.038348083,0.265875785
391,53011040907,612,1725,36,0.058823529,0.433356595
392,53011041110,405,2218,45,0.111111111,0.728541521
393,53011041007,206,1148,20,0.097087379,0.662247034
394,53011041600,98,896,15,0.153061224,0.869504536
395,53011040904,403,1790,22,0.054590571,0.401256106
396,53011041201,365,1926,26,0.071232877,0.519190509
397,53011041203,268,1611,25,0.093283582,0.64619679
398,53011041206,327,1739,38,0.116207951,0.749476622
399,53011041318,376,1468,21,0.055851064,0.40893231
400,53011041321,94,1065,6,0.063829787,0.47034194
401,53011041309,181,1328,6,0.033149171,0.205163992
402,53011041310,287,1972,8,0.027874564,0.152826239
403,53011041700,192,1141,27,0.140625,0.834612701
404,53011041800,239,1624,28,0.117154812,0.753663643
405,53011041900,122,848,8,0.06557377,0.485694348
406,53011042000,100,607,7,0.07,0.511514306
407,53011042100,179,1266,19,0.106145251,0.70760642
408,53011042300,143,1001,8,0.055944056,0.409630147
