"County Name","County","Cumulative Smoke Score (2016-2022)"
"n/a","State Total","2289"
"King","53033003900","1766.9"
"King","53033004000","1768.3"
"King","53033004100","1582.8"
"King","53033004200","1582.8"
"King","53033004301","1582.8"
"King","53033004302","1582.8"
"King","53033004400","1582.8"
"King","53033004500","1582.8"
"King","53033004600","1766.9"
"King","53033004700","1582.8"
"King","53033004800","1582.8"
"King","53033004900","1582.8"
"King","53033005000","1582.8"
"King","53033005100","1582.8"
"King","53033005200","1582.8"
"King","53033005301","1582.8"
"King","53033005302","1582.8"
"King","53033005400","1582.8"
"King","53033005600","1582.8"
"King","53033005700","1582.8"
"King","53033005801","1582.8"
"King","53033005802","1582.8"
"King","53033005900","1582.8"
"King","53033006000","1582.8"
"King","53033006100","1582.8"
"King","53033006200","1582.8"
"King","53033006300","1582.8"
"King","53033006400","1582.8"
"King","53033006500","1582.8"
"King","53033006600","1582.8"
"King","53033006700","1582.8"
"King","53033006800","1582.8"
"King","53033006900","1582.8"
"King","53033007000","1582.8"
"King","53033007100","1582.8"
"King","53033007200","1582.8"
"King","53033007300","1582.8"
"King","53033007401","1582.8"
"King","53033007402","1582.8"
"King","53033007500","1582.8"
"King","53033007600","1582.8"
"King","53033007700","1582.8"
"King","53033007800","1582.8"
"King","53033007900","1582.8"
"King","53033008001","1582.8"
"King","53033008002","1582.8"
"King","53033008100","1582.8"
"King","53033008200","1582.8"
"King","53033008300","1582.8"
"King","53033008400","1582.8"
"King","53033008500","1582.8"
"King","53033008600","1582.8"
"King","53033008700","1582.8"
"King","53033008800","1582.8"
"King","53033008900","1582.8"
"King","53033009000","1582.8"
"King","53033009100","1582.8"
"King","53033009200","1582.8"
"King","53033009300","1588.7"
"King","53033009400","1582.8"
"King","53033009500","1588.7"
"King","53033009600","1584.9"
"King","53033009701","1584.9"
"King","53033009702","1584.9"
"King","53033009800","1584.9"
"King","53033009900","1584.9"
"King","53033010001","1588.7"
"King","53033010002","1588.7"
"King","53033010100","1588.7"
"King","53033010200","1588.7"
"King","53033010300","1588.7"
"King","53033010401","1588.7"
"King","53033010402","1588.7"
"King","53033010500","1594.8"
"King","53033010600","1594.8"
"King","53033010701","1594.8"
"King","53033010702","1594.8"
"King","53033010800","1594.8"
"King","53033010900","1663.8"
"King","53033011001","1671.8"
"King","53033011002","1671.8"
"King","53033011101","1671.8"
"King","53033011102","1833.2"
"King","53033011200","1663.8"
"King","53033011300","1613.4"
"King","53033011401","1613.4"
"King","53033011402","1613.4"
"King","53033011500","1613.4"
"King","53033011600","1613.4"
"King","53033011700","2056.8"
"King","53033011800","2056.8"
"King","53033011900","2056.8"
"King","53033012000","1613.4"
"King","53033012100","1613.4"
"King","53033020100","1592.3"
"King","53033020200","1592.3"
"King","53033020300","1592.3"
"King","53033020401","1764.2"
"King","53033020402","1790"
"King","53033020500","1764.2"
"King","53033020600","1762.8"
"King","53033020700","1762.8"
"King","53033020800","1762.8"
"King","53033020900","1762.8"
"King","53033021000","1762.8"
"King","53033021100","1762.8"
"King","53033021300","1764.2"
"King","53033021400","1764.2"
"King","53033021500","1790"
"King","53033021600","1790"
"King","53033021700","1790"
"King","53033021802","1801.3"
"King","53033021803","1790"
"King","53033021804","1790"
"King","53033021903","1799.6"
"King","53033021904","1799.6"
"King","53033021905","1789.1"
"King","53033021906","1789.1"
"King","53033022001","1790"
"King","53033022003","1789.1"
"King","53033022005","1799.6"
"King","53033022006","1799.6"
"King","53033022101","1790"
"King","53033022102","1790"
"King","53033022201","1789.1"
"King","53033022202","1789.1"
"King","53033022203","1763.3"
"King","53033022300","1763.3"
"King","53033022400","1782.4"
"King","53033022500","1762.6"
"King","53033022603","1808.2"
"King","53033022604","1795.1"
"King","53033022605","1795.1"
"King","53033022606","1795.1"
"King","53033022701","1583.1"
"King","53033022702","1583.1"
"King","53033022703","1583.1"
"King","53033022801","1583.1"
"King","53033022802","1795.1"
"King","53033022803","1583.1"
"King","53033022901","1586.5"
"King","53033022902","1586.5"
"King","53033023000","1586.5"
"King","53033023100","1583.9"
"King","53033023201","1586.5"
"King","53033023202","1586.5"
"King","53033023300","1583.9"
"King","53033023401","1583.9"
"King","53033023403","1547.2"
"King","53033023404","1665.3"
"King","53033023500","1580.5"
"King","53033023601","1583.1"
"King","53033023603","1583.1"
"King","53033023604","1583.9"
"King","53033023700","1583.1"
"King","53033023801","1580.5"
"King","53033023803","1583.1"
"King","53033023804","1583.1"
"King","53033023900","1580.2"
"King","53033024000","1583.1"
"King","53033024100","1583.1"
"King","53033024200","1582.8"
"King","53033024300","1588.7"
"King","53033024400","1580.2"
"King","53033024500","1580.2"
"King","53033024601","1588.7"
"King","53033024602","2056.8"
"King","53033024701","1580.2"
"King","53033024702","1710.6"
"King","53033024800","1583.9"
"King","53033024901","1580.5"
"King","53033024902","1547.2"
"King","53033024903","1677.6"
"King","53033025001","1710.6"
"King","53033025003","1665.3"
"King","53033025005","1673.9"
"King","53033025006","1665.3"
"King","53033025101","2025.2"
"King","53033025102","2012.9"
"King","53033025200","2084.6"
"King","53033025301","2056.8"
"King","53033025302","2056.8"
"King","53033025400","2084.6"
"King","53033025500","2025.2"
"King","53033025601","2025.2"
"King","53033025602","2012.9"
"King","53033025701","2084.6"
"King","53033025702","2012.9"
"King","53033025803","1591.8"
"King","53033025804","1579.2"
"King","53033025805","2084.6"
"King","53033025806","2084.6"
"King","53033026001","2056.8"
"King","53033026002","2056.8"
"King","53033026100","2056.8"
"King","53033026200","2084.6"
"King","53033026300","2056.8"
"King","53033026400","1833.2"
"King","53033026500","1782.6"
"King","53033026600","1613.4"
"King","53033026700","1782.6"
"King","53033026801","1782.6"
"King","53033026802","1782.6"
"King","53033027000","1997.3"
"King","53033027100","2056.8"
"King","53033027200","2056.8"
"King","53033027300","2056.8"
"King","53033027400","1997.3"
"King","53033027500","1997.3"
"King","53033027600","1997.3"
"King","53033027701","1822.5"
"King","53033027702","1510.4"
"King","53033027800","1997.4"
"King","53033027900","1997.4"
"King","53033028000","1997.4"
"King","53033028100","2056.8"
"King","53033028200","2056.8"
"King","53033028300","1649.2"
"King","53033028402","1997.4"
"King","53033028403","2056.8"
"King","53033028500","1997.4"
"King","53033028600","2042.1"
"King","53033028700","1608"
"King","53033028801","1608"
"King","53033028802","1591.8"
"King","53033028901","1612.7"
"King","53033028902","1636.8"
"King","53033029001","1636.8"
"King","53033029003","1636.8"
"King","53033029004","1636.8"
"King","53033029101","1636.8"
"King","53033029102","1636.8"
"King","53033029203","1636.8"
"King","53033029204","1596.5"
"King","53033029205","1636.8"
"King","53033029206","1653.9"
"King","53033029303","1653.9"
"King","53033029304","1583.9"
"King","53033029305","1653.9"
"King","53033029306","1583.9"
"King","53033029307","1585.4"
"King","53033029403","1583.9"
"King","53033029405","1583.9"
"King","53033029406","1585.4"
"King","53033029407","1583.9"
"King","53033029408","1583.9"
"King","53033029502","1625.7"
"King","53033029503","1624.2"
"King","53033029504","1624.2"
"King","53033029601","1625.7"
"King","53033029602","1625.7"
"King","53033029700","1636.8"
"King","53033029801","1636.8"
"King","53033029802","1636.8"
"King","53033029901","1646.1"
"King","53033029902","1646.1"
"King","53033030003","1636.8"
"King","53033030004","1636.8"
"King","53033030005","1636.8"
"King","53033030006","1646.1"
"King","53033030100","1535.6"
"King","53033030201","1535.6"
"King","53033030202","1535.6"
"King","53033030304","1530.2"
"King","53033030305","1530.2"
"King","53033030306","1530.2"
"King","53033030308","1530.2"
"King","53033030309","1535.6"
"King","53033030310","1530.2"
"King","53033030311","1530.2"
"King","53033030312","1530.2"
"King","53033030313","1535.6"
"King","53033030314","1535.6"
"King","53033030401","1644.5"
"King","53033030403","1530.2"
"King","53033030404","1627.9"
"King","53033030501","1633.5"
"King","53033030503","1624.2"
"King","53033030504","1633.5"
"King","53033030600","1633.5"
"King","53033030700","1633.5"
"King","53033030801","1633.5"
"King","53033030802","1633.5"
"King","53033030901","1627.9"
"King","53033030902","1627.9"
"King","53033031000","1643"
"King","53033031100","1633.5"
"King","53033031202","1565.1"
"King","53033031204","1644.5"
"King","53033031205","1635"
"King","53033031206","1635"
"King","53033031301","1801.4"
"King","53033031302","1801.4"
"King","53033031400","1801.4"
"King","53033031501","1859.3"
"King","53033031502","1771.6"
"King","53033031601","1602"
"King","53033031603","1518.3"
"King","53033031604","1511.6"
"King","53033031605","1561.2"
"King","53033031703","1585.4"
"King","53033031704","1625.7"
"King","53033031705","1585.4"
"King","53033031706","1585.4"
"King","53033031800","1585.4"
"King","53033031903","2019.7"
"King","53033031904","1595.4"
"King","53033031906","1594.9"
"King","53033031907","1585.4"
"King","53033031908","1585.4"
"King","53033031909","1585.4"
"King","53033032002","1512.1"
"King","53033032003","1913.6"
"King","53033032005","1594.9"
"King","53033032006","1552.4"
"King","53033032007","1552.4"
"King","53033032008","1511.6"
"King","53033032010","1511.6"
"King","53033032011","1511.6"
"King","53033032102","1913.6"
"King","53033032103","1665.3"
"King","53033032104","1665.3"
"King","53033032203","1537.6"
"King","53033032207","1537.6"
"King","53033032208","1665.3"
"King","53033032210","1459.2"
"King","53033032211","1530.5"
"King","53033032212","1496.6"
"King","53033032213","1496.6"
"King","53033032214","1537.6"
"King","53033032215","1496.6"
"King","53033032307","1854"
"King","53033032309","1795.1"
"King","53033032311","1894.6"
"King","53033032313","1798.5"
"King","53033032315","1795.5"
"King","53033032316","1604.3"
"King","53033032317","1537.6"
"King","53033032318","1540.4"
"King","53033032319","1800.4"
"King","53033032320","1800.4"
"King","53033032321","1810.8"
"King","53033032322","1810.8"
"King","53033032323","1805.4"
"King","53033032324","1795.1"
"King","53033032325","1795.1"
"King","53033032326","1796.8"
"King","53033032327","1810"
"King","53033032328","1784.7"
"King","53033032329","1827"
"King","53033032401","1844.6"
"King","53033032402","1795.5"
"King","53033032500","2050.6"
"King","53033032601","1929.8"
"King","53033032602","1911.2"
"King","53033032702","1743"
"King","53033032703","1852.4"
"King","53033032704","1852.4"
"King","53033032800","1962.3"
"Kitsap","53035080101","1433.8"
"Kitsap","53035080102","1433.8"
"Kitsap","53035080200","1433.8"
"Kitsap","53035080300","1433.8"
"Kitsap","53035080400","1433.8"
"Kitsap","53035080500","1433.8"
"Kitsap","53035080600","1433.8"
"Kitsap","53035080700","1433.8"
"Kitsap","53035080800","1433.8"
"Kitsap","53035080900","1433.8"
"Kitsap","53035081000","1433.8"
