"cause","exposure","mean","lower","upper"
"cvd_ihd",1384,2.01605951824659,1.67368473748467,2.40203618284598
"cvd_ihd",1385,2.01606036310665,1.67368524963202,2.40203743348355
"cvd_ihd",1386,2.01606120796705,1.67368576177952,2.40203868412176
"cvd_ihd",1387,2.01606205282783,1.67368627392718,2.40203993476063
"cvd_ihd",1388,2.01606289768896,1.673686786075,2.40204118540015
"cvd_ihd",1389,2.01606374255047,1.67368729822298,2.40204243604033
"cvd_ihd",1390,2.01606458741232,1.6736878103711,2.40204368668114
"cvd_ihd",1391,2.01606543227453,1.67368832251939,2.40204493732261
"cvd_ihd",1392,2.01606627713711,1.67368883466784,2.40204618796474
"cvd_ihd",1393,2.01606712200004,1.67368934681644,2.40204743860751
"cvd_ihd",1394,2.01606796686334,1.6736898589652,2.40204868925094
"cvd_ihd",1395,2.01606881172699,1.67369037111411,2.40204993989501
"cvd_ihd",1396,2.01606965659101,1.67369088326318,2.40205119053975
"cvd_ihd",1397,2.01607050145538,1.6736913954124,2.40205244118512
"cvd_ihd",1398,2.01607134632011,1.67369190756179,2.40205369183115
"cvd_ihd",1399,2.01607219118521,1.67369241971133,2.40205494247783
"cvd_ihd",1400,2.01607303605066,1.67369293186102,2.40205619312516
"cvd_ihd",1401,2.01607388091648,1.67369344401088,2.40205744377315
"cvd_ihd",1402,2.01607472578265,1.67369395616089,2.40205869442178
"cvd_ihd",1403,2.01607557064918,1.67369446831106,2.40205994507106
"cvd_ihd",1404,2.01607641551608,1.67369498046138,2.40206119572101
"cvd_ihd",1405,2.01607726038333,1.67369549261186,2.40206244637159
"cvd_ihd",1406,2.01607810525095,1.6736960047625,2.40206369702283
"cvd_ihd",1407,2.01607895011892,1.67369651691329,2.40206494767472
"cvd_ihd",1408,2.01607979498726,1.67369702906425,2.40206619832726
"cvd_ihd",1409,2.01608063985595,1.67369754121535,2.40206744898045
"cvd_ihd",1410,2.01608148472501,1.67369805336662,2.4020686996343
"cvd_ihd",1411,2.01608232959442,1.67369856551804,2.40206995028879
"cvd_ihd",1412,2.01608317446419,1.67369907766962,2.40207120094394
"cvd_ihd",1413,2.01608401933433,1.67369958982135,2.40207245159974
"cvd_ihd",1414,2.01608486420482,1.67370010197324,2.40207370225618
"cvd_ihd",1415,2.01608570907568,1.67370061412529,2.40207495291328
"cvd_ihd",1416,2.01608655394689,1.67370112627749,2.40207620357103
"cvd_ihd",1417,2.01608739881846,1.67370163842986,2.40207745422943
"cvd_ihd",1418,2.0160882436904,1.67370215058238,2.4020787048885
"cvd_ihd",1419,2.01608908856269,1.67370266273505,2.40207995554819
"cvd_ihd",1420,2.01608993343535,1.67370317488789,2.40208120620856
"cvd_ihd",1421,2.01609077830837,1.67370368704087,2.40208245686956
"cvd_ihd",1422,2.01609162318173,1.67370419919402,2.40208370753121
"cvd_ihd",1423,2.01609246805547,1.67370471134732,2.40208495819352
"cvd_ihd",1424,2.01609331292956,1.67370522350078,2.40208620885648
"cvd_ihd",1425,2.01609415780402,1.67370573565439,2.4020874595201
"cvd_ihd",1426,2.01609500267883,1.67370624780816,2.40208871018435
"cvd_ihd",1427,2.01609584755401,1.67370675996209,2.40208996084927
"cvd_ihd",1428,2.01609669242954,1.67370727211618,2.40209121151483
"cvd_ihd",1429,2.01609753730544,1.67370778427042,2.40209246218105
"cvd_ihd",1430,2.01609838218169,1.67370829642482,2.40209371284792
"cvd_ihd",1431,2.0160992270583,1.67370880857937,2.40209496351544
"cvd_ihd",1432,2.01610007193528,1.67370932073409,2.4020962141836
"cvd_ihd",1433,2.01610091681261,1.67370983288896,2.40209746485243
"cvd_ihd",1434,2.0161017616903,1.67371034504398,2.4020987155219
"cvd_ihd",1435,2.01610260656836,1.67371085719916,2.40209996619202
"cvd_ihd",1436,2.01610345144677,1.6737113693545,2.40210121686279
"cvd_ihd",1437,2.01610429632555,1.67371188151,2.40210246753423
"cvd_ihd",1438,2.01610514120468,1.67371239366565,2.40210371820629
"cvd_ihd",1439,2.01610598608418,1.67371290582146,2.40210496887903
"cvd_ihd",1440,2.01610683096403,1.67371341797743,2.4021062195524
"cvd_ihd",1441,2.01610767584425,1.67371393013355,2.40210747022644
"cvd_ihd",1442,2.01610852072482,1.67371444228983,2.40210872090112
"cvd_ihd",1443,2.01610936560575,1.67371495444626,2.40210997157644
"cvd_ihd",1444,2.01611021048705,1.67371546660286,2.40211122225243
"cvd_ihd",1445,2.0161110553687,1.67371597875961,2.40211247292907
"cvd_ihd",1446,2.01611190025072,1.67371649091652,2.40211372360635
"cvd_ihd",1447,2.01611274513309,1.67371700307358,2.40211497428429
"cvd_ihd",1448,2.01611359001582,1.6737175152308,2.40211622496287
"cvd_ihd",1449,2.01611443489892,1.67371802738818,2.40211747564212
"cvd_ihd",1450,2.01611527978237,1.67371853954571,2.40211872632201
"cvd_ihd",1451,2.01611612466618,1.6737190517034,2.40211997700255
"cvd_ihd",1452,2.01611696955036,1.67371956386124,2.40212122768374
"cvd_ihd",1453,2.01611781443489,1.67372007601925,2.40212247836559
"cvd_ihd",1454,2.01611865931978,1.67372058817741,2.40212372904808
"cvd_ihd",1455,2.01611950420504,1.67372110033572,2.40212497973123
"cvd_ihd",1456,2.01612034909065,1.6737216124942,2.40212623041502
